Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Gennemsnit kadence løb,Maksimum kadence løb,Gennemsnitstempo,Bedste tempo,Højdeforøgelse,Højdereduktion,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Training Stress Score®,Hårdhed,Flow,Bundtid,Minimum temperatur,Overfladeinterval,Dekompression,Tid for bedste omgang,Antal løb,Maksimum temperatur
Løb,2020-03-02 15:05:08,false,"5k, dukkert, barfod hjem","6.29","469","00:36:26","150","167","171","201","5:47","4:15","69","68","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","01:46.70","7","0.0"
Løb,2020-02-26 17:47:07,false,"Aarhus Løb","6.16","490","00:36:35","154","168","168","189","5:56","4:30","67","88","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","01:11.94","7","0.0"
Løb,2020-01-05 15:58:41,false,"Aarhus Løb","5.33","399","00:30:33","150","168","166","177","5:44","4:35","46","48","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","01:51.70","6","0.0"
Løb,2020-01-02 14:24:19,false,"Aarhus Løb","5.79","452","00:35:56","152","175","161","183","6:12","4:47","54","63","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","04:50.62","6","0.0"
Løb,2019-12-03 16:33:30,false,"Aarhus Løb","4.65","333","00:27:21","145","164","160","177","5:53","4:57","37","44","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","04:00.78","5","0.0"
Løb,2019-11-29 13:17:07,false,"Aarhus Løb","7.93","623","00:47:02","155","171","168","192","5:56","4:50","92","107","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","05:16.16","8","0.0"
Løb,2019-10-01 17:15:48,false,"Aarhus Løb","5.44","453","00:34:27","154","178","166","183","6:20","4:31","71","65","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","02:51.43","6","0.0"
Løb,2019-09-16 09:33:44,false,"Aarhus Løb","4.24","332","00:26:04","147","157","169","185","6:09","4:50","59","52","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","01:42.85","5","0.0"
Løb,2019-06-12 17:03:50,false,"Dunedin Løb","4.84","424","00:32:54","150","178","166","204","6:48","4:58","84","102","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","05:03.78","5","0.0"
Løb,2019-06-10 16:00:15,false,"Løb","6.50","567","00:45:00","150","--","--","--","6:55","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","1","0.0"
Løb,2019-04-12 07:49:28,false,"Dunedin Løb","4.80","412","00:36:17","146","162","164","199","7:33","5:10","108","121","0.80","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","05:29.20","5","0.0"
Løb,2019-04-10 07:00:46,false,"Dunedin Løb","5.73","480","00:42:16","150","164","169","187","7:23","5:00","98","106","0.80","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","04:53.69","6","0.0"
Løb,2019-04-08 07:05:03,false,"Dunedin Løb","5.71","451","00:43:22","146","163","165","191","7:35","4:55","98","108","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","04:57.87","6","0.0"
Løb,2019-04-05 07:53:39,false,"Dunedin Løb","7.27","578","00:56:03","148","171","158","223","7:43","4:18","248","263","0.82","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","01:47.86","8","0.0"
Løb,2019-04-03 06:59:25,false,"Dunedin Løb","7.85","609","00:59:44","146","161","161","212","7:37","4:56","200","210","0.82","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","05:28.44","8","0.0"
Løb,2019-03-27 07:13:23,false,"Dunedin Løb","4.06","340","00:32:04","147","159","157","200","7:54","3:20","112","120","0.80","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:24.63","5","0.0"
Løb,2019-03-22 07:37:25,false,"Dunedin Løb","5.10","404","00:40:26","143","158","159","217","7:56","3:51","152","163","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:39.45","6","0.0"
Løb,2019-03-20 07:13:51,false,"Dunedin - Løb","5.03","389","00:37:43","144","157","159","199","7:30","5:10","103","117","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:11.47","6","0.0"
Løb,2019-03-18 07:15:43,false,"Dunedin - Løb","4.91","397","00:38:53","144","158","158","209","7:55","4:50","126","135","0.80","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","06:14.38","5","0.0"
Løb,2019-03-15 07:38:58,false,"Dunedin - Løb","4.65","373","00:37:44","143","164","154","200","8:07","4:38","109","118","0.80","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","04:29.90","5","0.0"
Løb,2019-03-13 07:18:21,false,"Dunedin - Løb","3.97","312","00:31:23","141","160","158","245","7:54","4:42","117","122","0.80","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","06:42.47","4","0.0"
Løb,2019-03-06 07:13:25,false,"Dunedin - Løb","4.39","356","00:32:36","148","160","163","201","7:25","5:14","68","80","0.82","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","02:38.28","5","0.0"
Løb,2019-03-04 14:57:54,false,"Løb med Evan","6.22","436","00:35:53","161","186","153","217","5:46","2:36","18","23","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","01:17.57","7","0.0"
Løb,2019-03-01 07:16:20,false,"Dunedin - Løb","4.94","382","00:31:55","157","179","168","209","6:27","4:13","128","135","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","04:39.95","5","0.0"
Løb,2019-02-23 14:22:50,false,"Teknik med roomies ","5.86","428","00:40:54","145","180","150","244","6:59","2:00","69","85","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","05:44.61","6","0.0"
Løb,2019-02-18 09:08:56,false,"Dunedin Løb","5.76","441","00:34:51","161","180","157","248","6:03","4:55","80","93","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","05:33.81","6","0.0"
Løb,2019-02-12 17:21:21,false,"Queenstown Løb med far","6.04","436","00:35:25","158","183","165","189","5:52","4:24","53","65","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","05:45.09","7","0.0"
Løb,2018-12-12 07:28:59,false,"Recovery løb","3.15","227","00:22:26","134","142","173","183","7:07","5:56","26","27","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","4","0.0"
Løb,2018-12-11 07:39:57,false,"Løb+vinterbad med Simon ","6.65","470","00:37:17","152","167","171","226","5:36","3:41","80","85","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","7","0.0"
Løb,2018-12-09 16:38:14,false,"Riiskov med Malte","7.20","543","00:42:10","156","174","170","190","5:51","4:46","66","74","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","8","0.0"
Løb,2018-12-04 15:00:25,false,"Offroad lol i Risskov ","6.85","507","00:37:59","159","183","172","189","5:33","4:16","83","87","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","7","0.0"
Løb,2018-11-27 07:38:37,false,"Aarhus Løb","6.06","427","00:34:04","152","175","167","224","5:37","4:48","64","67","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","7","0.0"
Løb,2018-11-23 07:34:22,false,"Aarhus Løb","6.14","421","00:34:29","150","177","166","249","5:37","3:41","76","75","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","7","0.0"
Løb,2018-11-16 07:58:28,false,"Aarhus Løb","4.17","321","00:24:43","153","175","168","195","5:56","5:16","65","67","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","5","0.0"
Løb,2018-11-14 16:25:43,false,"Aarhus Løb","5.18","392","00:31:13","150","169","167","187","6:02","4:45","63","65","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","6","0.0"
Løb,2018-11-01 14:39:39,false,"Aarhus Løb","4.70","349","00:24:40","163","179","179","191","5:15","3:13","37","41","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","5","0.0"
Løb,2018-10-23 20:21:53,false,"Aarhus Løb","4.72","380","00:25:21","172","187","167","185","5:22","3:17","14","18","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","5","0.0"
Løb,2018-10-20 12:48:05,false,"Aarhus Løb","5.01","385","00:30:00","152","173","170","197","5:59","4:12","68","72","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","6","0.0"
Løb,2018-10-11 14:56:19,false,"Aarhus Løb","4.95","373","00:27:20","160","176","171","198","5:31","4:27","63","59","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","5","0.0"
Løb,2018-10-09 17:32:03,false,"Aarhus Løb","4.54","364","00:27:43","154","173","165","198","6:07","4:10","4","9","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","5","0.0"
Løb,2018-09-08 14:51:20,false,"Slagelse Løb","2.01","161","00:13:14","146","166","171","200","6:35","4:24","6","9","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Nej","00:00.00","3","0.0"
